                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70763,                0.56301,                 1.2223,                0.98292,                      1,                  0.995,                0.87417,                0.59459,                0.64203,                 1.1756,               0.001307,               0.001307,               0.001307
                     37,                0.69052,                0.54059,                 1.2167,                      1,                0.99697,                  0.995,                0.89132,                0.60758,                0.57321,                 1.1465,              0.0012872,              0.0012872,              0.0012872
                     38,                0.71914,                0.54589,                 1.2411,                0.96295,                      1,                  0.995,                0.88335,                0.48054,                0.44774,                  1.124,              0.0012674,              0.0012674,              0.0012674
                     39,                0.65392,                0.54285,                 1.1913,                0.98574,                      1,                  0.995,                0.88007,                0.58581,                0.46551,                 1.2548,              0.0012476,              0.0012476,              0.0012476
                     40,                0.68628,                0.56253,                 1.2064,                0.99084,                      1,                  0.995,                0.81448,                0.78682,                0.59094,                  1.457,              0.0012278,              0.0012278,              0.0012278
                     41,                0.72241,                0.55471,                 1.2469,                0.97625,                    0.4,                0.40871,                0.36807,                0.66057,                0.58209,                 1.2362,               0.001208,               0.001208,               0.001208
                     42,                0.66742,                0.51068,                 1.2017,                0.97788,                    0.9,                0.89683,                0.68687,                0.66353,                0.53832,                 1.1688,              0.0011882,              0.0011882,              0.0011882
                     43,                0.60117,                0.45573,                 1.1432,                0.97878,                      1,                  0.995,                0.88692,                0.55552,                0.44606,                 1.1027,              0.0011684,              0.0011684,              0.0011684
                     44,                0.63751,                0.49673,                 1.1672,                      1,                0.99009,                  0.995,                0.88679,                0.55472,                0.49966,                 1.0886,              0.0011486,              0.0011486,              0.0011486
                     45,                0.64701,                0.49732,                 1.2041,                0.99231,                      1,                  0.995,                0.87154,                0.58174,                0.44651,                 1.1532,              0.0011288,              0.0011288,              0.0011288
                     46,                0.64228,                0.46915,                 1.2136,                 0.9944,                      1,                  0.995,                0.90621,                0.51215,                0.34866,                 1.1012,               0.001109,               0.001109,               0.001109
                     47,                0.60371,                0.46911,                 1.1558,                 0.9946,                      1,                  0.995,                0.90273,                0.51941,                0.37243,                 1.0919,              0.0010892,              0.0010892,              0.0010892
                     48,                0.68765,                0.50236,                 1.2212,                0.99383,                      1,                  0.995,                0.87079,                0.62448,                0.40383,                 1.1395,              0.0010694,              0.0010694,              0.0010694
                     49,                0.62702,                0.44394,                 1.1573,                0.99419,                      1,                  0.995,                0.87082,                0.64483,                 0.3645,                 1.1713,              0.0010496,              0.0010496,              0.0010496
                     50,                0.57532,                0.42108,                 1.1427,                0.99365,                      1,                  0.995,                0.92125,                0.50963,                0.34936,                 1.0331,              0.0010298,              0.0010298,              0.0010298
                     51,                0.57198,                0.43211,                 1.1797,                0.99408,                      1,                  0.995,                0.90261,                0.53886,                0.33705,                 1.0647,                0.00101,                0.00101,                0.00101
